Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme
20,115,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,115,1,Fraktionslos,Helferich,Matthias,,0,0,1,0,0,Matthias Helferich,,Enthaltung
20,115,1,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,115,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,115,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,115,2,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,115,2,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,115,2,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,115,2,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,115,2,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,115,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,115,3,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,115,3,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,115,3,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,115,3,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,115,3,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,115,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,115,4,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,115,4,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
